Epoch,Train Loss,Val Loss,MSE Train,MSE Val
85,473.7575078,444.4268572,4667646649.5713367,4663187931.4285717
86,417.9816500,393.1342535,4645471200.8803587,4632514766.3673468
87,369.4839095,346.6057963,4601871370.6461935,4573554109.3877554
88,323.5461948,300.5028716,4519896062.0345488,4462447149.7142859
89,275.3490006,248.5876849,4361585883.8029432,4239409876.8979592
90,212.9630753,169.2407694,3982244891.6801023,3593439855.0204082
91,112.0104957,65.7577784,2788310613.8246961,2063783096.1632652
92,51.0373800,38.5308061,1766722457.6327574,1407306448.3265307
93,27.0721365,17.0324242,918241101.9833653,433986955.9183673
94,12.2703073,9.8223275,184498724.9366603,64155041.6530612
95,9.3225424,8.9726327,44653697.2898273,30140970.2244898
96,8.7767786,8.6175489,22219815.4184261,16133359.6836735
97,8.4815563,8.3203662,11938203.5662188,8280252.4132653
98,3784.4455778,125.9817882,9880347109.9744091,6354344158.0408163
99,51.1476389,11.3246763,2514804263.8208575,211057204.0000000
100,9.2406723,8.5705943,59975373.9270633,20104037.9489796
